GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
10890	6.89e-19	3.12e-23	0.0807	-9.9289233	-0.8010148	6766.29	RAB10	RAB10, member RAS oncogene family
84674	2.11e-18	2.87e-22	0.1433	-9.7051717	-1.3904376	1243.18	CARD6	caspase recruitment domain family member 6
199675	2.11e-18	1.94e-22	0.2943	-9.7447231	-2.8676563	668.94	MCEMP1	mast cell expressed membrane protein 1
1588	4.62e-18	8.36e-22	0.3855	-9.5954339	-3.6990557	68.01	CYP19A1	cytochrome P450 family 19 subfamily A member 1
2730	4.78e-18	1.16e-21	0.1301	-9.5617805	-1.2438907	1300.01	GCLM	glutamate-cysteine ligase modifier subunit
285758	4.78e-18	1.34e-21	0.2143	-9.5463973	-2.0454005	148.77	MROCKI	MARCKS cis regulating lncRNA promoter of cytokines and inflammation
57700	4.78e-18	1.51e-21	0.1166	-9.5340841	-1.1113833	4669.77	FHIP2A	FHF complex subunit HOOK interacting protein 2A
126917	1.16e-17	4.20e-21	0.092	9.4276138	0.8676788	715.15	IFFO2	intermediate filament family orphan 2
6280	2.21e-17	9.00e-21	0.2224	-9.3472014	-2.0788794	284922.04	S100A9	S100 calcium binding protein A9
100131635	3.48e-17	1.57e-20	0.1602	-9.2880227	-1.4876697	124.82	LOC100131635	hCG1645011-like
388121	5.53e-17	2.75e-20	0.4202	-9.2283321	-3.8780605	37.15	TNFAIP8L3	TNF alpha induced protein 8 like 3
64168	7.49e-17	4.07e-20	0.2545	-9.1862912	-2.3381639	386.14	NECAB1	N-terminal EF-hand calcium binding protein 1
84836	8.76e-17	5.15e-20	0.0813	9.1608103	0.7446931	176.47	ABHD14B	abhydrolase domain containing 14B
100127983	1.19e-16	7.53e-20	0.194	-9.1197722	-1.7690279	125.23	C8orf88	chromosome 8 open reading frame 88
55856	3.77e-16	2.56e-19	0.0596	-8.9862765	-0.5355144	1373.07	ACOT13	acyl-CoA thioesterase 13
4097	8.58e-16	6.21e-19	0.1459	-8.8882875	-1.2968414	583.94	MAFG	MAF bZIP transcription factor G
105372578	9.58e-16	7.37e-19	0.2885	-8.869192	-2.5588355	791.28	LINC02967	long intergenic non-protein coding RNA 2967
79836	1.43e-15	1.17e-18	0.1465	-8.8179718	-1.2915255	1211.95	LONRF3	LON peptidase N-terminal domain and ring finger 3
53831	1.49e-15	1.28e-18	0.3238	-8.8074114	-2.8518314	304.3	GPR84	G protein-coupled receptor 84
306	1.98e-15	1.79e-18	0.2991	-8.7698043	-2.6231392	7077.87	ANXA3	annexin A3
167555	2.40e-15	2.28e-18	0.153	-8.7427448	-1.3372873	398.67	FAM151B	family with sequence similarity 151 member B
5861	2.52e-15	2.56e-18	0.0936	-8.7292424	-0.8167853	2673.5	RAB1A	RAB1A, member RAS oncogene family
